variable,n_obs,min,mean,std,max,q0900,q0950,q0990,q0999
temp,6445858,0.1899999976158142,21.102162265639954,5.0123355290077125,38.93000030517578,27.010000228881836,28.440000534057617,30.709999084472656,32.9900016784668
rain_1h,2311264,0.10000000149011612,0.6772045465645472,1.0201641282924416,48.77000045776367,1.5499999523162842,2.299999952316284,4.760000228881836,10.979999542236328
rain_3h,1498,0.12999999523162842,1.3074766403046725,2.1283163460360277,49.0,2.630000114440918,3.559999942779541,5.690000057220459,31.232249999997464
wind_speed,6445858,0.0,1.924651404632513,1.4739830795757631,86.23999786376953,4.099999904632568,5.090000152587891,6.409999847412109,8.229999542236328
wind_gust,56466,0.0,2.135571311195419,3.6561194844145306,149.1999969482422,8.199999809265137,10.800000190734863,13.899999618530273,16.959999084472656
