city_name,total_rows,dup_rows,dup_rate_%
Quito,411112,18842,4.5832
Guayaquil,404863,6729,1.662
Puyo,403356,3720,0.9223
Santo Domingo,403049,2795,0.6935
Ambato,402756,2483,0.6165
Cuenca,402742,2478,0.6153
Machala,402243,1496,0.3719
Loja,402203,1416,0.3521
Quevedo,402121,1250,0.3109
Lago Agrio,401840,682,0.1697
Manta,401766,542,0.1349
Esmeraldas,401736,480,0.1195
Ibarra,401583,176,0.0438
Santa Cruz Island,401496,4,0.001
Puerto Morona,401496,2,0.0005
Zamora,401496,2,0.0005
